"source","width"
"blood",3.03
"blood",4.28
"blood",3.03
"blood",9.17
"blood",3.56
"blood",4.03
"blood",6.76
"blood",15.11
"blood",6.53
"blood",5.04
"blood",3.61
"blood",5.04
"blood",3.03
"blood",4.03
"blood",4.51
"blood",4.03
"blood",3.03
"blood",3.03
"blood",4.03
"blood",10.55
"blood",6.72
"blood",5.04
"blood",3.03
"blood",2.85
"blood",4.03
"blood",6.05
"blood",3.57
"blood",5.42
"blood",4.28
"blood",1.96
"blood",2.14
"blood",5.41
"blood",9.68
"blood",6.05
"blood",2.42
"blood",3.03
"blood",4.03
"blood",8.47
"blood",12.27
"blood",6.31
"blood",6.05
"blood",5.34
"blood",3.03
"blood",3.57
"blood",7.06
"blood",2.14
"blood",4.24
"blood",8.56
"blood",9.27
"blood",5.04
"blood",5.04
"blood",4.03
"blood",6.05
"blood",2.85
"blood",9.07
"blood",10.69
"blood",2.85
"blood",6.38
"blood",4.28
"blood",5.7
"blood",2.26
"blood",3.03
"blood",5.7
"blood",7.91
"blood",5.41
"blood",12.12
"blood",4.31
"blood",5.04
"blood",5.04
"blood",5.04
"blood",4.75
"blood",6.42
"blood",4.03
"blood",17.13
"blood",10.89
"blood",13.31
"blood",6.76
"blood",3.57
"blood",7.96
"blood",3.03
"blood",13.55
"blood",3.57
"blood",5.04
"blood",8.12
"blood",5.7
"blood",9.98
"blood",3.03
"blood",7.13
"blood",6.05
"blood",6.05
"blood",5.31
"blood",2.85
